Input,Match type,Approved symbol,Approved name,HGNC ID,Location
AIP,Alias symbol,AURKAIP1,aurora kinase A interacting protein 1,HGNC:24114,1p36.33
AL132709.8,Alias symbol,MEG8,"maternally expressed 8, small nucleolar RNA host gene",HGNC:14574,14q32.31
AL645608.1,Alias symbol,LINC02593,long intergenic non-protein coding RNA 2593,HGNC:53933,1p36.33
ALB,Alias symbol,FBF1,Fas binding factor 1,HGNC:24674,17q25.1
AMN,Alias symbol,ABCD1,ATP binding cassette subfamily D member 1,HGNC:61,Xq28
AP000469.2,Alias symbol,LINC01689,long intergenic non-protein coding RNA 1689,HGNC:52476,21q21.2
AP001065.15,Alias symbol,LINC02575,long intergenic non-protein coding RNA 2575,HGNC:53747,21q22.3
AP001626.1,Alias symbol,LINC01671,long intergenic non-protein coding RNA 1671,HGNC:52459,21q22.3
AP003419.16,Alias symbol,RPS6KB2-AS1,RPS6KB2 antisense RNA 1,HGNC:53744,11q13.2
APC2,Alias symbol,ANAPC2,anaphase promoting complex subunit 2,HGNC:19989,9q34.3
APC2,Alias symbol,SLC25A23,solute carrier family 25 member 23,HGNC:19375,19p13.3
AQP9,Alias symbol,AQP7,aquaporin 7,HGNC:640,9p13.3
AR,Alias symbol,AKR1B1,aldo-keto reductase family 1 member B,HGNC:381,7q33
ARC,Alias symbol,NOL3,nucleolar protein 3,HGNC:7869,16q22.1
ARG1,Alias symbol,TINAGL1,tubulointerstitial nephritis antigen like 1,HGNC:19168,1p35.2
ARHGAP10,Alias symbol,ARHGAP21,Rho GTPase activating protein 21,HGNC:23725,10p12.1
ARL1,Alias symbol,AKR1B10,aldo-keto reductase family 1 member B10,HGNC:382,7q33
ARSB,Alias symbol,SLURP1,secreted LY6/PLAUR domain containing 1,HGNC:18746,8q24.3
ASIP,Alias symbol,PARD3,par-3 family cell polarity regulator,HGNC:16051,10p11.22-p11.21
ATF1,Alias symbol,GDNF,glial cell derived neurotrophic factor,HGNC:4232,5p13.2
ATF2,Alias symbol,GDNF,glial cell derived neurotrophic factor,HGNC:4232,5p13.2
ATR,Alias symbol,SERPINA2,serpin family A member 2 (gene/pseudogene),HGNC:8985,14q32.13
ATR,Alias symbol,ANTXR1,ANTXR cell adhesion molecule 1,HGNC:21014,2p13.3
AVP,Alias symbol,NLRP3,NLR family pyrin domain containing 3,HGNC:16400,1q44
B3GNT8,Alias symbol,B3GNTL1,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1",HGNC:21727,17q25.3
BACH1,Alias symbol,BRIP1,BRCA1 interacting helicase 1,HGNC:20473,17q23.2
BAP1,Alias symbol,RNF2,ring finger protein 2,HGNC:10061,1q25.3
BAP1,Alias symbol,MAGI1,"membrane associated guanylate kinase, WW and PDZ domain containing 1",HGNC:946,3p14.1
BC040587,Alias symbol,LINC00901,long intergenic non-protein coding RNA 901,HGNC:40352,3q13.31
BCAM,Alias symbol,BCAT2,branched chain amino acid transaminase 2,HGNC:977,19q13.33
BCRP1,Alias symbol,BANF1P1,BANF1 pseudogene 1,HGNC:20252,14q24.1
BCRP2,Alias symbol,DCAF5,DDB1 and CUL4 associated factor 5,HGNC:20224,14q24.1
BDP1,Alias symbol,PTPN18,protein tyrosine phosphatase non-receptor type 18,HGNC:9649,2q21.1
BNC1,Alias symbol,ASIC2,acid sensing ion channel subunit 2,HGNC:99,17q11.2-q12
BRAP,Alias symbol,C6orf89,chromosome 6 open reading frame 89,HGNC:21114,6p21.2
BRCC3,Alias symbol,DEPDC1B,DEP domain containing 1B,HGNC:24902,5q12.1
BRI3,Alias symbol,ITM2C,integral membrane protein 2C,HGNC:6175,2q37.1
BST1,Alias symbol,PGAP1,post-GPI attachment to proteins inositol deacylase 1,HGNC:25712,2q33.1
BTF3,Alias symbol,BTN3A3,butyrophilin subfamily 3 member A3,HGNC:1140,6p22.2
C1QTNF5,Alias symbol,MFRP,membrane frizzled-related protein,HGNC:18121,11q23.3
C4B,Alias symbol,C4A,complement C4A (Rodgers blood group),HGNC:1323,6p21.33
C6,Alias symbol,PSMA7,proteasome 20S subunit alpha 7,HGNC:9536,20q13.33
C7,Alias symbol,CXCL10,C-X-C motif chemokine ligand 10,HGNC:10637,4q21.1
CA11,Alias symbol,GKN1,gastrokine 1,HGNC:23217,2p13.3
CABP1,Alias symbol,S100G,S100 calcium binding protein G,HGNC:1436,Xp22.2
CAD,Alias symbol,DFFB,DNA fragmentation factor subunit beta,HGNC:2773,1p36.32
CAD,Alias symbol,B4GALNT2,"beta-1,4-N-acetyl-galactosaminyltransferase 2",HGNC:24136,17q21.32
CAD,Alias symbol,ACOD1,aconitate decarboxylase 1,HGNC:33904,13q22.3
CAMP,Alias symbol,CHAMP1,chromosome alignment maintaining phosphoprotein 1,HGNC:20311,13q34
CAP1,Alias symbol,PRSS8,serine protease 8,HGNC:9491,16p11.2
CAP2,Alias symbol,TMPRSS4,transmembrane serine protease 4,HGNC:11878,11q23.3
CAP2,Alias symbol,SERPINB8,serpin family B member 8,HGNC:8952,18q22.1
CAPS,Alias symbol,CADPS,calcium dependent secretion activator,HGNC:1426,3p14.2
CAPS2,Alias symbol,CADPS2,calcium dependent secretion activator 2,HGNC:16018,7q31.32
CARF,Alias symbol,PEDS1,plasmanylethanolamine desaturase 1,HGNC:16735,20q13.13
CARF,Alias symbol,CDKN2AIP,CDKN2A interacting protein,HGNC:24325,4q35.1
CAST,Alias symbol,POLR1G,RNA polymerase I subunit G,HGNC:24219,19q13.32
CAST,Alias symbol,ERC2,ELKS/RAB6-interacting/CAST family member 2,HGNC:31922,3p14.3
CBLB,Alias symbol,MMAB,metabolism of cobalamin associated B,HGNC:19331,12q24.11
CBLC,Alias symbol,MMACHC,metabolism of cobalamin associated C,HGNC:24525,1p34.1
CCR10,Alias symbol,ACKR2,atypical chemokine receptor 2,HGNC:1565,3p22.1
CCR4,Alias symbol,CNOT6,CCR4-NOT transcription complex subunit 6,HGNC:14099,5q35.3
CCR9,Alias symbol,ACKR2,atypical chemokine receptor 2,HGNC:1565,3p22.1
CDH1,Alias symbol,FZR1,fizzy and cell division cycle 20 related 1,HGNC:24824,19p13.3
CDH20,Alias symbol,PCDHGB4,"protocadherin gamma subfamily B, 4",HGNC:8711,5q31
CDH7,Alias symbol,CDH19,cadherin 19,HGNC:1758,18q22.1
CDH7,Alias symbol,CDH20,cadherin 20,HGNC:1760,18q21.33
CDKN2B-AS,Alias symbol,CDKN2B-AS1,CDKN2B antisense RNA 1,HGNC:34341,9p21.3
CDS1,Alias symbol,CHEK2,checkpoint kinase 2,HGNC:16627,22q12.1
CER1,Alias symbol,C3CER1,chromosome 3 common eliminated region 1,HGNC:1320,3p22-p21.2
CES2,Alias symbol,CES1,carboxylesterase 1,HGNC:1863,16q12.2
CH17-360D5.1,Alias symbol,NPY4R2,neuropeptide Y receptor Y4-2,HGNC:52383,10q11.22
CHD5,Alias symbol,GET1,guided entry of tail-anchored proteins factor 1,HGNC:12790,21q22.2
CHD5,Alias symbol,CHD6,chromodomain helicase DNA binding protein 6,HGNC:19057,20q12
CHL1,Alias symbol,DDX11,DEAD/H-box helicase 11,HGNC:2736,12p11.21
CHP1,Alias symbol,CHORDC1,cysteine and histidine rich domain containing 1,HGNC:14525,11q14.3
CKLF,Alias symbol,KLF5,Kruppel like factor 5,HGNC:6349,13q22.1
CLC,Alias symbol,CLCF1,cardiotrophin like cytokine factor 1,HGNC:17412,11q13.2
CLCP1,Alias symbol,DCBLD2,"discoidin, CUB and LCCL domain containing 2",HGNC:24627,3q12.1
CLIC5,Alias symbol,CLIC6,chloride intracellular channel 6,HGNC:2065,21q22.12
CLIP4,Alias symbol,UBASH3A,ubiquitin associated and SH3 domain containing A,HGNC:12462,21q22.3
CNP,Alias symbol,NPPC,natriuretic peptide C,HGNC:7941,2q37.1
CNR1,Alias symbol,PCDHA@,"protocadherin alpha cluster, complex locus",HGNC:8662,5q31
CNR1,Alias symbol,PCDHA4,protocadherin alpha 4,HGNC:8670,5q31.3
CNR2,Alias symbol,PCDHA6,protocadherin alpha 6,HGNC:8672,5q31.3
COP1,Alias symbol,CARD16,caspase recruitment domain family member 16,HGNC:33701,11q22.3
CPA3,Alias symbol,CPA4,carboxypeptidase A4,HGNC:15740,7q32.2
CPA6,Alias symbol,CYP2A6,cytochrome P450 family 2 subfamily A member 6,HGNC:2610,19q13.2
CPD,Alias symbol,HOMER2,homer scaffold protein 2,HGNC:17513,15q25.2
CPN1,Alias symbol,CYP11B1,cytochrome P450 family 11 subfamily B member 1,HGNC:2591,8q24.3
CPN1,Alias symbol,CPNE1,copine 1,HGNC:2314,20q11.22
CPN2,Alias symbol,CYP11B2,cytochrome P450 family 11 subfamily B member 2,HGNC:2592,8q24.3
CPN2,Alias symbol,CPNE2,copine 2,HGNC:2315,16q13
CPS1,Alias symbol,CYP21A2,cytochrome P450 family 21 subfamily A member 2,HGNC:2600,6p21.33
CPS1,Alias symbol,PM20D1,peptidase M20 domain containing 1,HGNC:26518,1q32.1
CRAT40,Alias symbol,LINC02563,long intergenic non-protein coding RNA 2563,HGNC:52923,17q24.1
CREB3,Alias symbol,CREB3L4,cAMP responsive element binding protein 3 like 4,HGNC:18854,1q21.3
CRIP1,Alias symbol,CNRIP1,cannabinoid receptor interacting protein 1,HGNC:24546,2p14
CRP,Alias symbol,PPIAP10,peptidylprolyl isomerase A pseudogene 10,HGNC:9264,20q13.2
CSN2,Alias symbol,COPS2,COP9 signalosome subunit 2,HGNC:30747,15q21.1
CSN3,Alias symbol,COPS3,COP9 signalosome subunit 3,HGNC:2239,17p11.2
CSNK2A1,Alias symbol,CSNK2A2,casein kinase 2 alpha 2,HGNC:2459,16q21
CSRP2BP,Alias symbol,PET117,PET117 cytochrome c oxidase chaperone,HGNC:40045,20p11.23
CST6,Alias symbol,CSTB,cystatin B,HGNC:2482,21q22.3
CSTP1,Alias symbol,CPPED1,calcineurin like phosphoesterase domain containing 1,HGNC:25632,16p13.12
CTA-833B7.2,Alias symbol,NCF4-AS1,NCF4 antisense RNA 1,HGNC:40393,22q12.3
CTAGE4,Alias symbol,ARHGEF35,Rho guanine nucleotide exchange factor 35,HGNC:33846,7q35
CTB-51J22.1,Alias symbol,ELN-AS1,ELN antisense RNA 1,HGNC:40212,7q11.23
CTC-467M3.1,Alias symbol,MEF2C-AS2,MEF2C antisense RNA 2,HGNC:53115,5q14.3
CTC-534A2.2,Alias symbol,SHLD3,shieldin complex subunit 3,HGNC:53826,5q12.3
CTD-2171N6.1,Alias symbol,LINC01929,long intergenic non-protein coding RNA 1929,HGNC:52751,18q21.2
CTD-2354A18.1,Alias symbol,LINC02582,long intergenic non-protein coding RNA 2582,HGNC:53792,18q22.3
CTD-2357A8.3,Alias symbol,SCAT1,S-phase cancer associated transcript 1,HGNC:52930,17q25.3
CTD-2547G23.4,Alias symbol,ZKSCAN2-DT,ZKSCAN2 divergent transcript,HGNC:53912,16p12.1
CTD-2619J13.13,Alias symbol,LINC02560,long intergenic non-protein coding RNA 2560,HGNC:53600,19q13.43
CTH,Alias symbol,VSIG2,V-set and immunoglobulin domain containing 2,HGNC:17149,11q24.2
D4S234E,Alias symbol,NSG1,neuronal vesicle trafficking associated 1,HGNC:18790,4p16.3
DAO,Alias symbol,AOC1,amine oxidase copper containing 1,HGNC:80,7q36.1
DAP,Alias symbol,IAPP,islet amyloid polypeptide,HGNC:5329,12p12.1
DAP,Alias symbol,DNPEP,aspartyl aminopeptidase,HGNC:2981,2q35
DAP3,Alias symbol,DLGAP3,DLG associated protein 3,HGNC:30368,1p34.3
DBI,Alias symbol,TSPO,translocator protein,HGNC:1158,22q13.2
DBP,Alias symbol,GC,GC vitamin D binding protein,HGNC:4187,4q13.3
DBP,Alias symbol,HSD17B4,hydroxysteroid 17-beta dehydrogenase 4,HGNC:5213,5q23.1
DEAR,Alias symbol,FBXW7-AS1,FBXW7 antisense RNA 1,HGNC:52397,4q31.3
DEF6,Alias symbol,DEFA6,defensin alpha 6,HGNC:2765,8p23.1
DEFA1,Alias symbol,DEFA1A3,"defensin alpha 1 and alpha 3, variable copy number locus",HGNC:32231,8p23.1
DEFA3,Alias symbol,DEFA1A3,"defensin alpha 1 and alpha 3, variable copy number locus",HGNC:32231,8p23.1
DEFT1P,Alias symbol,DEFA1A3,"defensin alpha 1 and alpha 3, variable copy number locus",HGNC:32231,8p23.1
DIO1,Alias symbol,DIDO1,death inducer-obliterator 1,HGNC:2680,20q13.33
DKFZP434I0714,Alias symbol,MIR4453HG,MIR4453 host gene,HGNC:25288,4q31.3
DKFZP434L187,Alias symbol,LINC02249,long intergenic non-protein coding RNA 2249,HGNC:32351,15q13.2
DLC1,Alias symbol,DLEC1,DLEC1 cilia and flagella associated protein,HGNC:2899,3p22.2
DLC1,Alias symbol,DYNLL1,dynein light chain LC8-type 1,HGNC:15476,12q24.31
DLG1,Alias symbol,DLGAP5,DLG associated protein 5,HGNC:16864,14q22.3
DMC1,Alias symbol,HID1,HID1 domain containing,HGNC:15736,17q25.1
DMP1,Alias symbol,DMTF1,cyclin D binding myb like transcription factor 1,HGNC:14603,7q21.12
DNAL1,Alias symbol,DNAH9,dynein axonemal heavy chain 9,HGNC:2953,17p12
DOK1,Alias symbol,ART4,ADP-ribosyltransferase 4 (inactive) (Dombrock blood group),HGNC:726,12p12.3
DRC3,Alias symbol,EPS8L1,EPS8 like 1,HGNC:21295,19q13.42
DRG1,Alias symbol,NDRG1,N-myc downstream regulated 1,HGNC:7679,8q24.22
DRP2,Alias symbol,DPYSL2,dihydropyrimidinase like 2,HGNC:3014,8p21.2
DSC1,Alias symbol,DSC3,desmocollin 3,HGNC:3037,18q12.1
DSC2,Alias symbol,DSC3,desmocollin 3,HGNC:3037,18q12.1
DUSP1,Alias symbol,DUSP12,dual specificity phosphatase 12,HGNC:3067,1q23.3
DUSP23,Alias symbol,PTPMT1,protein tyrosine phosphatase mitochondrial 1,HGNC:26965,11p11.2
DUSP26,Alias symbol,DUSP28,dual specificity phosphatase 28,HGNC:33237,2q37.3
DUSP27,Alias symbol,DUSP29,dual specificity phosphatase 29,HGNC:23481,10q22.2
EAF1,Alias symbol,SRCAP,Snf2 related CREBBP activator protein,HGNC:16974,16p11.2
EAF2,Alias symbol,DMAP1,DNA methyltransferase 1 associated protein 1,HGNC:18291,1p34.1
EBP,Alias symbol,GLB1,galactosidase beta 1,HGNC:4298,3p22.3
EBP,Alias symbol,SH3D19,SH3 domain containing 19,HGNC:30418,4q31.3
ECD,Alias symbol,SEM1,SEM1 26S proteasome subunit,HGNC:10845,7q21.3
EIF2A,Alias symbol,EIF2S1,eukaryotic translation initiation factor 2 subunit alpha,HGNC:3265,14q23.3
EIF2AK1,Alias symbol,EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2,HGNC:9437,2p22.2
ELF1,Alias symbol,ELOF1,elongation factor 1 homolog,HGNC:28691,19p13.2
ELK1,Alias symbol,KCNH4,potassium voltage-gated channel subfamily H member 4,HGNC:6253,17q21.2
ELK3,Alias symbol,KCNH8,potassium voltage-gated channel subfamily H member 8,HGNC:18864,3p24.3
ELN,Alias symbol,SMIM6,small integral membrane protein 6,HGNC:40032,17q25.1
EMB,Alias symbol,XPO1,exportin 1,HGNC:12825,2p15
EPO,Alias symbol,TIMP1,TIMP metallopeptidase inhibitor 1,HGNC:11820,Xp11.3
EPO,Alias symbol,EPX,eosinophil peroxidase,HGNC:3423,17q22
EZH1,Alias symbol,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,HGNC:3527,7q36.1
F11,Alias symbol,ZNF160,zinc finger protein 160,HGNC:12948,19q13.42
F3,Alias symbol,CNTN1,contactin 1,HGNC:2171,12q12
FAAH,Alias symbol,FA2H,fatty acid 2-hydroxylase,HGNC:21197,16q23.1
FABP5,Alias symbol,FABP5P1,fatty acid binding protein 5 pseudogene 1,HGNC:31059,13q22.1
FADS6,Alias symbol,FADS1,fatty acid desaturase 1,HGNC:3574,11q12.2
FAH,Alias symbol,FANCA,FA complementation group A,HGNC:3582,16q24.3
FAS,Alias symbol,FASN,fatty acid synthase,HGNC:3594,17q25.3
FBP2,Alias symbol,KHSRP,KH-type splicing regulatory protein,HGNC:6316,19p13.3
FBXO31,Alias symbol,FBXO5,F-box protein 5,HGNC:13584,6q25.2
FCRL2,Alias symbol,FCRLB,Fc receptor like B,HGNC:26431,1q23.3
FCRLB,Alias symbol,FCRLA,Fc receptor like A,HGNC:18504,1q23.3
FEM1A,Alias symbol,FEM1C,fem-1 homolog C,HGNC:16933,5q22.3
FEZ1,Alias symbol,LZTS1,leucine zipper tumor suppressor 1,HGNC:13861,8p21.3
FGF2,Alias symbol,FGF13,fibroblast growth factor 13,HGNC:3670,Xq26.3-q27.1
FHL1,Alias symbol,CFH,complement factor H,HGNC:4883,1q31.3
FKBP6,Alias symbol,FKBP10,FKBP prolyl isomerase 10,HGNC:18169,17q21.2
FKBP9,Alias symbol,FKBP1B,FKBP prolyl isomerase 1B,HGNC:3712,2p23.3
FLG,Alias symbol,FGFR1,fibroblast growth factor receptor 1,HGNC:3688,8p11.23
FLI1,Alias symbol,FLII,FLII actin remodeling protein,HGNC:3750,17p11.2
FLJ22763,Alias symbol,C3orf85,chromosome 3 open reading frame 85,HGNC:53432,3q13.13
FLJ26245,Alias symbol,LINC02167,long intergenic non-protein coding RNA 2167,HGNC:53028,16p11.1
FLJ27354,Alias symbol,LRRC8C-DT,LRRC8C divergent transcript,HGNC:53731,1p22.2
FLJ33360,Alias symbol,LINC02145,long intergenic non-protein coding RNA 2145,HGNC:53005,5p15.31
FLJ35934,Alias symbol,LINC02076,long intergenic non-protein coding RNA 2076,HGNC:52924,17p11.2
FLJ37505,Alias symbol,LINC02393,long intergenic non-protein coding RNA 2393,HGNC:53320,12q24.32
FZD3,Alias symbol,FZD9,frizzled class receptor 9,HGNC:4047,7q11.23
GAB1,Alias symbol,PIGU,phosphatidylinositol glycan anchor biosynthesis class U,HGNC:15791,20q11.22
GAL3ST2,Alias symbol,GAL3ST3,galactose-3-O-sulfotransferase 3,HGNC:24144,11q13.1
GALNT15,Alias symbol,GALNT18,polypeptide N-acetylgalactosaminyltransferase 18,HGNC:30488,11p15.4
GALNT17,Alias symbol,GALNTL6,polypeptide N-acetylgalactosaminyltransferase like 6,HGNC:33844,4q34.1
GALNT7,Alias symbol,GALNT15,polypeptide N-acetylgalactosaminyltransferase 15,HGNC:21531,3p25.1
GAR1,Alias symbol,CNGB1,cyclic nucleotide gated channel subunit beta 1,HGNC:2151,16q21
GCK,Alias symbol,MAP4K2,mitogen-activated protein kinase kinase kinase kinase 2,HGNC:6864,11q13.1
GCKR,Alias symbol,MAP4K5,mitogen-activated protein kinase kinase kinase kinase 5,HGNC:6867,14q22.1
GCOM1,Alias symbol,MYZAP,myocardial zonula adherens protein,HGNC:43444,15q21.3
GDA,Alias symbol,SLC25A16,solute carrier family 25 member 16,HGNC:10986,10q21.3
GDA,Alias symbol,PAEP,progestagen associated endometrial protein,HGNC:8573,9q34.3
GEM,Alias symbol,GMNN,geminin DNA replication inhibitor,HGNC:17493,6p22.3
GIF,Alias symbol,MT3,metallothionein 3,HGNC:7408,16q13
GIF,Alias symbol,MIF,macrophage migration inhibitory factor,HGNC:7097,22q11.23
GIP,Alias symbol,C1QTNF1,C1q and TNF related 1,HGNC:14324,17q25.3
GIP,Alias symbol,GNAI2,G protein subunit alpha i2,HGNC:4385,3p21.31
GK2,Alias symbol,GALK2,galactokinase 2,HGNC:4119,15q21.1-q21.2
GLA,Alias symbol,NAT8,N-acetyltransferase 8 (putative),HGNC:18069,2p13.1
GLS,Alias symbol,GLS2,glutaminase 2,HGNC:29570,12q13.3
GLUD1,Alias symbol,GRID1,glutamate ionotropic receptor delta type subunit 1,HGNC:4575,10q23.1-q23.2
GLUD2,Alias symbol,GRID2,glutamate ionotropic receptor delta type subunit 2,HGNC:4576,4q22.1-q22.2
GM140,Alias symbol,LINC01699,long intergenic non-protein coding RNA 1699,HGNC:52487,1q25.3
GOT1,Alias symbol,GOLT1A,golgi transport 1A,HGNC:24766,1q32.1
GOT1,Alias symbol,GOLT1B,golgi transport 1B,HGNC:20175,12p12.1
GPI,Alias symbol,GNPDA1,glucosamine-6-phosphate deaminase 1,HGNC:4417,5q31.3
GPT,Alias symbol,DPAGT1,dolichyl-phosphate N-acetylglucosaminephosphotransferase 1,HGNC:2995,11q23.3
GPX6,Alias symbol,GPX7,glutathione peroxidase 7,HGNC:4559,1p32.3
GRIN1,Alias symbol,GPRIN1,G protein regulated inducer of neurite outgrowth 1,HGNC:24835,5q35.2
GRIP1,Alias symbol,LGALS12,galectin 12,HGNC:15788,11q12.3
GRIP1,Alias symbol,NCOA2,nuclear receptor coactivator 2,HGNC:7669,8q13.3
GRP,Alias symbol,UCMA,upper zone of growth plate and cartilage matrix associated,HGNC:25205,10p13
GRP,Alias symbol,LGALSL,galectin like,HGNC:25012,2p14
GS1-600G8.5,Alias symbol,LINC02154,long intergenic non-protein coding RNA 2154,HGNC:53015,Xp22.2
GSG1,Alias symbol,TRAPPC8,trafficking protein particle complex subunit 8,HGNC:29169,18q12.1
H3F3AP1,Alias symbol,H3C9P,"H3 clustered histone 9, pseudogene",HGNC:18982,6p22.2
HAP1,Alias symbol,APEX1,apurinic/apyrimidinic endodeoxyribonuclease 1,HGNC:587,14q11.2
HAS1,Alias symbol,DDX18,DEAD-box helicase 18,HGNC:2741,2q14.1
HAS1,Alias symbol,HNF1A-AS1,HNF1A antisense RNA 1,HGNC:26785,12q24.31
HBG1,Alias symbol,ACSBG1,acyl-CoA synthetase bubblegum family member 1,HGNC:29567,15q25.1
HBM,Alias symbol,LRP5,LDL receptor related protein 5,HGNC:6697,11q13.2
HCP5,Alias symbol,CYCSP5,CYCS pseudogene 5,HGNC:24416,1q44
HCRTR2,Alias symbol,CD200R1,CD200 receptor 1,HGNC:24235,3q13.2
HCST,Alias symbol,SLC35A1,solute carrier family 35 member A1,HGNC:11021,6q15
HDC,Alias symbol,HECA,"hdc homolog, cell cycle regulator",HGNC:21041,6q24.1
HDGFRP2,Alias symbol,HDGFL2,HDGF like 2,HGNC:14680,19p13.3
HDGFRP3,Alias symbol,HDGFL3,HDGF like 3,HGNC:24937,15q25.2
HES1,Alias symbol,GATD3A,glutamine amidotransferase like class 1 domain containing 3A,HGNC:1273,21q22.3
HGF,Alias symbol,IL6,interleukin 6,HGNC:6018,7p15.3
HGF,Alias symbol,SOS1,SOS Ras/Rac guanine nucleotide exchange factor 1,HGNC:11187,2p22.1
HK1,Alias symbol,KCNA4,potassium voltage-gated channel subfamily A member 4,HGNC:6222,11p14.1
HK1,Alias symbol,HOOK1,hook microtubule tethering protein 1,HGNC:19884,1p32.1
HK2,Alias symbol,KCNA5,potassium voltage-gated channel subfamily A member 5,HGNC:6224,12p13.32
HK2,Alias symbol,KIF2A,kinesin family member 2A,HGNC:6318,5q12.1
HK2,Alias symbol,HOOK2,hook microtubule tethering protein 2,HGNC:19885,19p13.13
HK3,Alias symbol,HOOK3,hook microtubule tethering protein 3,HGNC:23576,8p11.21
HLA-H,Alias symbol,HFE,homeostatic iron regulator,HGNC:4886,6p22.2
HLF,Alias symbol,EPAS1,endothelial PAS domain protein 1,HGNC:3374,2p21
HMP19,Alias symbol,NSG2,neuronal vesicle trafficking associated 2,HGNC:24955,5q35.2
HP,Alias symbol,DLC1,DLC1 Rho GTPase activating protein,HGNC:2897,8p22
HP09025,Alias symbol,LINC02078,long intergenic non-protein coding RNA 2078,HGNC:52926,17q25.3
HPCA,Alias symbol,CACNA1A,calcium voltage-gated channel subunit alpha1 A,HGNC:1388,19p13.13
HPF1,Alias symbol,ZNF83,zinc finger protein 83,HGNC:13158,19q13.41
HPR,Alias symbol,MT-HPR,mitochondrially encoded replication primer,HGNC:7438,mitochondria
